,Incident,Location,Reported,Occurred,Comments / Nature of Fire,Disposition,UCPDI#
11637,Medical Call,5700 S. Stony Island (5700 Stony Island RH),1/12/19 6:04 AM,1/12/19 6:04 AM,Sick person transported to UCMED for evaluation and treatment,Closed,19-00034
11638,Theft,5500 S. University (Campus North RH),1/12/19 11:40 AM,1/8/19 to 1/12/19 2:00 PM to 11:30 AM,A tire was taken from a bicycle secured to a bike rack,Open,19-00035
11639,Criminal Trespass to Land,915 E. 60th St. (Logan Center),1/12/19 9:55 PM,1/12/19 4:00 PM to 9:00 PM,A person banned from campus was seen attending an event at the Logan Center / Individual left prior to notification to UCPD,Closed,19-00036
11640,Found Narcotics,5700 S. Maryland (CCD),1/13/19 1:21 AM,1/13/19 1:21 AM,Staff member found suspect marijuana among a patient's possessions / Turned over to UCPD for proper disposal,Closed,19-00037
11641,Liquor Law Violation,1101 E. 56th St. (Max Palevsky RH),1/13/19 1:26 AM,1/13/19 1:26 AM,An underage individual became ill after consuming alcoholic beverages / Transported to UCMED by CFD EMS,Referred,19-00038
11642,Void,Void,Void,Void,Number generated in error,Void,19-00039
11643,Stalking,969 E. 60th St. (SSA),1/14/19 4:18 PM,9/1/17 to 11/1/18 Various times,"DSS was notified by a Campus Security Authority that an undisclosed victim reported being stalked on campus by a known individual / Due to confidentiality of reporting, limited information is available regarding this incident",No Investigation Referred to Title IX Coordinator,CSA Report 19-001
11644,Information / Attempt Robbery,1451 E. 52nd St. (Public Way),1/14/19 10:07 PM,1/14/19 10:00 PM,"An individual walking on the sidewalk off campus was grabbed by an unknown subject who forcibly attempted to take property from the victim / After a struggle, the suspect fled and was taken into custody by CPD officers / CPD case JC117196",CPD/Arrest,19-00040
11645,Found Narcotics,5700 S. Maryland (CCD),1/15/19 11:43 AM,1/15/19 11:43 AM,Staff member found suspect narcotics in a patient's room / Substance turned over to UCPD for proper disposal,Closed,19-00041
11646,Theft,5706 S. University (Reynolds Club),1/15/19 12:05 PM,1/15/19 11:45 AM,Unknown suspect was observed leaving the caf� without paying for food,Open,19-00042
11647,Theft,1346 E. 53rd St. (Target),1/15/19 11:46 AM,1/15/19 11:40 AM,UCPD officer detained an individual who had taken merchandise from the store without paying / Management declined to prosecute,Ex. Cleared,19-00043
11648,Non-Criminal / Fire,5836 S. Greenwood (Haskell Hall),1/15/19 3:39 PM,1/15/19 3:35 PM,"Paper was smoldering in a plastic recycle container in the basement of Haskell Hall / Extinguished by staff member / No property damage, no injuries reported / CFD responded / Discarded cigarette was the likely cause",Closed,19-00044
11649,Medical Call / Injured Person,5700 S. Stony Island (Stony Island RH),1/15/19 7:31 PM,1/15/19 7:25 PM,An individual became dizzy and fell into a door jamb resulting in a laceration to the forehead / Transported to UCMED by CFD EMS,Closed,19-00045
11650,Found Property,5722 S. Kenwood (Alley),1/15/19 7:56 PM,1/15/19 6:30 PM,A purse and a cell phone found in the alley turned over to UCPD for safekeeping,Closed,19-00046
11651,Information / Armed Robbery,5312 S. Cornell (Public Way),1/15/19 10:44 PM,1/15/19 10:40 PM,"Two unknown suspects, armed with handguns, took property from two victims walking on the sidewalk off campus / Suspects fled to a waiting vehicle / CPD case JC118457",CPD,19-00047
11652,Information / Attempt Armed Robbery,Harper between 51st & 52nd,1/16/19 12:45 AM,1/16/19 12:35 AM,"Two unknown suspects, armed with handguns, followed a victim into a private apartment building off campus and demanded his jacket / Suspects fled to a waiting vehicle after a witness appeared / CPD case JC118516",CPD,19-00048
11653,Information / Theft,5400 S. Kimbark (Public Way),1/16/19 1:36 PM,1/12/19 8:00 PM to 8:05 PM,"Unattended, unsecured wallet taken from unlocked car parked on the street off campus / Referred to CPD",CPD,19-00049
11654,Found Narcotics,5700 S. Maryland (CCD),1/16/19 9:09 PM,1/16/19 8:40 PM,Staff member found three small plastic baggies of suspect narcotics in patient's room / Contraband turned over to UCPD for proper disposal,Closed,19-00050
11655,Lost Property,850 E. 61st St. (UCPD HQ),1/16/19 11:00 PM,1/13/19 6:30 PM to 6:45 PM,Staff member reported the loss of issued equipment,Closed,19-00051
11656,Liquor Law Violation,1330 E. 53rd St. (Vue 53),1/17/19 12:44 AM,1/17/19 12:44 AM,An underage individual became ill after consuming alcoholic beverages / Transported to UCMED by CFD EMS for evaluation and treatment,Referred,19-00052
11657,Assist Other Agency / Recovered Vehicle,5044 S. Drexel,1/17/19 6:12 AM,1/17/19 6:12 AM,"In-car license plate reader notified UCPD officer of an unoccupied vehicle parked on the street that had been reported stolen in Dolton, IL / Turned over to Dolton PD",Closed,19-00053
11658,Information / Robbery,5400 S. Hyde Park,1/17/19 6:27 PM,1/17/19 6:20 PM,Two unknown subjects forcibly took a wallet from a person walking on the sidewalk off campus / CPD case,CPD,19-00054
11659,Theft,1118 E. 58th ST. (Eckhart Bike Rack),1/17/19 6:50 PM,1/17/19 4:05 PM to 6:50 PM,Secured bicycle taken from bike rack,Open,19-00055
11660,Theft,5840 S. Maryland (Parking Structure),1/17/19 7:25 PM,1/17/19 2:00 PM to 7:00 PM,Unknown person(s) cut a chain and took contractor's pipe threading machine and a generator,Open,19-00056
11661,Found Narcotics,5700 S. Maryland (CCD),1/17/19 9:44 PM,1/17/19 9:44 PM,Staff member found suspect narcotics in patient's room / Contraband turned over to UCPD for proper disposal,Closed,19-00057
11662,Found Narcotics,5700 S. Maryland (CCD),1/18/19 9:44 AM,1/18/19 9:40 AM,Staff member found several baggies of narcotics in patient's room / Contraband turned over to UCPD for proper disposal,Closed,19-00058
11663,Harassment by Telephone,850 E. 61st St. (UCPD HQ),1/18/19 1:56 PM,1/9/19 to 1/10/19 3:30 PM to 8:00 AM,Investigation of harassing phone calls,Open,19-00059
11664,Mental Health Transport,5500 S. Woodlawn (Public Way),1/18/19 11:40 PM,1/18/19 11:40 PM,An individual was transported to the UCMED for evaluation,Closed,19-00060
11665,Information / Burglary,53rd Street between Woodlawn and Kimbark (Business),1/19/19 4:46 AM,1/19/19 4:35 AM,Unknown suspects smashed the glass front door of an off campus business and took merchandise / CPD case JC122364,CPD,19-00061
11666,Criminal Damage to Vehicle,5730 S. Ellis (Public Way),1/19/19 1:48 PM,1/8/19 4:30 PM to 8:30 PM,Unknown person placed a sticker on victim's unoccupied parked vehicle,Open,19-00062
11667,Lost Property,5700 S. Maryland (CCD),1/19/19 3:44 PM,1/18/19 12:45 PM to 2:00 PM,Patient reports losing cell phone that was left in the bed while patient was out of the room,Closed,19-00063
11668,Criminal Damage to Vehicle,1027 E. 57th St. (Public Way),1/19/19 1:48 PM,1/15/19 5:00 PM to 8:30 PM,Unknown person placed stickers on victim's unoccupied parked vehicle,Open,19-00064
11669,Information / Attempt Armed Robbery,5604 S. Harper (Public Way),1/19/19 6:26 PM,1/19/19 6:10 PM,"An unknown suspect, armed with a handgun, demanded property from a victim working on the street off campus / A witness armed with a handgun, fired shots and the suspect fled to a waiting vehicle that sped off / CPD case JC122883",CPD,19-00065
11670,Non-Criminal / Fire,5815 S. Maryland (Mitchell Hospital),1/20/19 11:01 PM,1/20/19 11:01 PM,"Responding to a fire alarm in room D023, officers found a small fire in a garbage dumpster had been extinguished by over-head sprinklers / CFD responded / No persons were injured, no property damage reported",Closed,19-00066
11671,Found Property,5700 S. Drexel (Starbucks),1/21/19 10:41 PM,1/21/19 4:00 PM,Person handed over a counterfeit $100 bill to UCPD officer / Property inventoried by UCPD,Closed,19-00067
11672,Information / Armed Robbery,5400 S. Drexel (Public Way),1/22/19 12:41 AM,1/22/19 12:30 AM,"An individual riding a bicycle on the street off campus was approached by 3 suspects, one armed with a handgun / The suspects took the victim's property and fled to a waiting vehicle / CPD case JC125025",CPD,19-00068
11673,Stalking,1101 E. 56th St. (Max Palevsky RH),1/22/19 9:01 AM,December 2018 Various times,"DSS was notified by a Campus Security Authority that an undisclosed victim reported being stalked on campus by a known individual / Due to confidentiality of reporting, limited information is available regarding this incident",No Investigation Referred to Title IX Coordinator,CSA Report 19-003
11674,Harassment by Telephone,5815 S. Maryland (Mitchell Hospital),1/22/19 9:54 AM,1/22/19 12:05 AM to 5:20 AM,Report of harassing telephone calls from an unknown person,Open,19-00069
11675,Information / Aggravated Battery,851 E. 63rd St. (Public Way),1/22/19 10:35 AM,1/22/19 10:30 AM,"CPD and UCPD officers responded to calls of shots fired on the street off campus at 851 East 63rd Street / Upon arrival, officers found two people had suffered gunshot wounds / Victims were transported to UCMED by CFD EMS / CPD case JC125324",CPD,19-00070
11676,Injured Person,1145 E. 58th St. (Sidewalk),1/22/19 4:25 PM,1/22/19 4:20 PM,"An individual walking, slipped on the icy sidewalk and fell striking her head on the pavement / CFD EMS transported the injured person to the hospital for treatment",Closed,19-00071
11677,Information,6159 S. Cottage Grove (Alley),1/23/19 12:18 PM,1/23/19 12:15 PM,Individual reported an unknown person shot him as he walked off campus / Individual later admitted to CPD that the gunshot wound was self-inflicted / CPD case JC126694,CPD,19-00072
11678,Information / Armed Robbery,5136 S. Dorchester (Public Way),1/23/19 8:03 PM,1/23/19 8:00 PM,"An unknown subject, armed with a handgun, approached a person walking on the sidewalk off campus and demanded money / The victim handed cash to the suspect as a second person approached / The suspect demanded and took cash from the second person as well, before fleeing on foot / CPD case JC127341",CPD,19-00075
11679,Criminal Trespass to Land,5656 S. Maryland (UCMED),1/24/19 2:13 AM,1/24/19 1:30 AM,An unauthorized subject was arrested by UCPD officer after ignoring repeated warnings that he was trespassing,Arrest,19-00076
11680,Information,924 E. 57th St. (BSLC),1/24/19 12:04 PM,1/24/19 2:05 AM,Information documenting unauthorized use of a computer,Closed,19-00077
11681,Battery / Domestic,5700 S. Maryland (CCD),1/25/19 9:47 AM,1/25/19 9:35 AM,An argument between mother and daughter became physical with both parties striking the other / Prosecution declined,Ex. Cleared,19-00078
11682,Theft,900 E. 57th St. (Knapp Center),1/25/19 11:32 AM,1/24/19 5:20 PM to 5:35 PM,Victim's cell phone and attached card holder taken by unknown person / Subsequent unauthorized use of credit card reported,Open,19-00079
11683,Information / Armed Robbery,5411 S. Woodlawn (Public Way),1/25/19 9:25 PM,1/25/19 9:05 PM,"Suspect, armed with a handgun, took two necklaces from two victims walking on the street off campus / CPD case JC129886",CPD,19-00080
11684,Criminal Damage to Vehicle,5656 S. Drexel (Public Way),1/25/19 10:06 PM,1/18/19 2:45 to 9:45 PM,"Unknown person used a sharp object to scratch (""key"") doors of a car parked at the curb",Open,19-00081
11685,Liquor Law Violation,6031 S. Ellis (Granville-Grossman RH),1/25/19 10:34 PM,1/25/19 10:34 PM,Underage individual became ill after consuming alcoholic beverages / Transported to UCMED by CFD Ems for evaluation and treatment,Referred,19-00082
11686,Assault,800 E. 55th St. (Friend Center),1/26/19 11:43 AM,1/26/19 10:45 AM,Patient threatened staff member with bodily harm / Suspect left before UCPD was notified,Open,19-00083
11687,Information / Armed Robbery,5700 S. Harper (Public Way),1/26/19 12:40 PM,1/26/19 12:40 PM,Suspect displayed a handgun and took cash from a victim on the street off campus and fled / UCPD officers located and detained the suspect / Handgun recovered by UCPD / Suspect turned over to CPD and charged with armed robbery / CPD case JC130422,CPD,19-00084
11688,Assault,5721 S. Maryland (Comer Hospital),1/26/19 4:28 PM,1/26/19 4:20 PM,"During an argument, one subject threatened the other with bodily harm / Victim declined prosecution",Ex. Cleared,19-00085
11689,Liquor Law Violation,5500 S. University (Campus North RH),1/27/19 12:53 AM,1/27/19 12:53 AM,Underage individual became ill after consuming alcoholic beverages / Examined on scene by CFD EMS,Referred,19-00086
11690,Liquor Law Violation,5700 S. Stony Island (5700 Stony Island RH),1/27/19 1:48 AM,1/27/19 1:48 AM,Underage individual became ill after consuming alcoholic beverages / Transported to UCMED by CFD EMS for evaluation and treatment,Referred,19-00087
11691,Liquor Law Violation,6031 S. Ellis (Granville-Grossman RH),1/27/19 2:19 AM,1/27/19 2:19 AM,Underage individual became ill after consuming alcoholic beverages / Transported to UCMED by CFD EMS for evaluation and treatment,Referred,19-00088
11692,Lost Property,5811 S. Ellis (Cobb Hall),1/27/19 2:53 PM,1/27/19 10:00 AM to 11:30 AM,An individual reports losing a cell phone while in the building,Closed,19-00089
11693,Shots Fired,940 E. 41st St. (Public Way),1/27/19 5:21 PM,1/27/19 5:20 PM,CPD and UCPD officers responded to a call of shots fired off campus / Several shell casings were found / No injuries or property damage was reported / CPD case JC131686,CPD,19-00090
11694,Information / Armed Robbery,5201 S. University (Public Way),1/27/19 7:53 PM,1/27/19 7:40 PM,"Three unknown suspects, armed with handguns, took property from a victim on the street off campus / Suspects fled the scene in the victim's vehicle / CPD case JC131840",CPD,19-00091
11695,Non-Criminal Damage to Property,800 E. 55th St. (Friend Center),1/28/19 3:22 AM,1/28/19 3:22 AM,Alarm triggered by smoke created by malfunctioning motor in wall heater / No persons reported injured / CFD responded,Closed,19-00092
11696,Lost Property,5900 S. Ellis,1/28/19 9:58 AM,1/28/19 8:40 AM,An individual reported losing UC ID card,Closed,19-00093
11697,Information,1307 E. 60th St. (Keller Center),1/28/19 1:56 PM,1/27/19 10:15 PM,Information re. a social media message,Closed,19-00094
11698,Criminal Damage to Property,5835 S. Greenwood (Stuart Hall),1/29/19 11:36 AM,1/29/19 11:36 AM,Unknown person scrawled graffiti on wall of stall in men's basement restroom,Open,19-00095
11699,Traffic Crash,5721 S. Maryland,1/29/19 10:08 AM,1/29/19 10:05 AM,A motorist backed into a pole damaging an electrical box / 2019 MVA 00022,Closed,19-00096
11700,Theft,5530 S. Ellis (Ratner A.C.),1/29/19 2:08 PM,1/29/19 10:05 AM to 10:20 AM,Credit/debit cards and cash taken from wallet left in unsecured locker in women's locker room / Suspect was identified and had possession of the victim's card / Arrested by UCPD / Refer to 19-00193,Arrest,19-00097
11701,Found Property,5500 S. University (Campus North RH),1/29/19 3:58 PM,1/29/19 3:58 PM,A set of 7 keys found and turned over to UCPD for safekeeping,Closed,19-00098
11702,Criminal Damage to Property,5500 S. University (Campus North RH),1/29/19 3:54 PM,1/27/19 to 1/28/19 11:00 AM to 12:00 AM,Unknown person entered a resident's room and spilled an unknown liquid substance on the seat of a chair,Open,19-00099
11703,Non-Criminal / Damage to Property,5640 S. Ellis (Eckhart Research Center),1/30/19 11:57 AM,1/30/19 11:55 AM,Water pipes burst on 2nd floor due to severe cold temperatures / CFD and UC Facilities responded,Closed,19-00100
11704,Theft,929 E. 57th St. (Gordon Center),1/30/19 4:13 PM,1/30/19 10:00 AM to 3:30 PM,"Jacket, with Ventra card in pocket, taken from back of a chair by unknown person / Unauthorized use of Ventra card reported",Open,19-00102
11705,Non-Criminal Property Damage,6054 S. Drexel (UC Office Bldg.),1/31/19 11:36 AM,1/31/19 11:36 AM,A fire sprinkler burst due to extreme cold weather conditions / Water seeped from 4th floor to basement / CFD and UC Facilities responded,Closed,19-00103
11706,Information,1101 E. 56th St. (Max Palevsky RH),1/31/19 10:16 AM,1/30/19 to 1/31/19 11:15 AM to 7:20 AM,A contract employee reports receiving disturbing phone calls from a former co-worker,Closed,19-00104
11707,Non-Criminal Property Damage,5720 S. Ellis (Kersten Physics),1/31/19 2:34 PM,1/31/19 2:34 PM,A fire sprinkler on the first floor burst due to extreme cold weather conditions / CFD and UC Facilities responded,Closed,19-00105
11708,Stalking,5730 S. Ellis (Crerar Library),2/1/19 1:39 PM,9/25/18 and various other dates,"DSS was notified by a Campus Security Authority that an undisclosed victim reported being stalked on campus by a known individual / Due to confidentiality of reporting, limited information is available regarding this incident",No Investigation Referred to Title IX Coordinator,CSA Report 19-005
11709,Non-Criminal Damage to Property,6025 S. Ellis (Cathey Dining Hall),2/1/19 1:33 PM,2/1/19 1:33 PM,A fire sprinkler burst due to extreme cold weather conditions flooding the room / CFD and UC Facilities responded,Closed,19-00106
11710,Criminal Trespass to Land,1554 E. 55th St. (Walgreens),2/1/19 8:44 PM,2/1/19 8:44 PM,Subject had been banned from the off campus property / Store management declined prosecution / Subject transported to UCMED for mental evaluation,Ex. Cleared,19-00107
11711,Liquor Law Violation,5800 S. University (Public Way),2/2/19 12:59 AM,2/2/19 12:59 AM,An underage individual became ill after consuming alcoholic beverages / Transported to UCMED by CFD EMS for evaluation and treatment,Referred,19-00108
11712,Found Narcotics,5656 S. Maryland (UCMED),2/2/19 1:35 AM,2/2/19 1:35 AM,Staff member found a small amount of marijuana and turned it over to UCPD for proper disposal,Closed,19-00109
11713,Information,5656 S. Maryland (Parking Structure),2/2/19 1:29 AM,2/2/19 1:29 AM,A water pipe burst due to cold temperatures / CFD and Facilities responded,Closed,19-00110
11714,Possession of Narcotics,1400 E. 53rd St. (Alley),2/2/19 4:54 PM,2/2/19 4:54 PM,A UCPD officer arrested a suspect for possession of cocaine,Arrest,19-00111
11715,Information / Aggravated Battery,Lake Park between 45th & 46th,2/3/19 6:00 AM,2/3/19 3:15 AM to 3:30 AM,One victim walking on the sidewalk off campus suffered a gunshot wound to the shoulder / The victim saw an unknown suspect firing in his direction / A second victim sitting in a car off campus suffered a gunshot wound to the back when an unknown suspect walking on the sidewalk fired shots at the victim / CPD case JC138349,CPD,19-00112
11716,Found Property,5300 S. Greenwood,2/3/19 4:49 PM,2/3/19 4:49 PM,A driver's license found on the sidewalk off campus was turned over to UCPD for safekeeping,Closed,19-00113
11717,DUI,5558 S. Cottage Grove,2/3/19 9:05 PM,2/3/19 9:05 PM,UCPD officer arrested a motorist for DUI,Arrest,19-00114
11718,Mental Health Transport,5555 S. Woodlawn (Student Counseling Center),2/4/19 12:04 PM,2/4/19 12:04 PM,An individual was transported to UCMED for evaluation,Closed,19-00115
11719,Theft,5640 S. University (Bartlett Commons),2/4/19 1:24 PM,2/1/19 8:00 PM to 9:00 PM,"Unattended, unsecured backpack containing a MacBook laptop taken from a room",Open,19-00116
11720,Stalking,5530 S. Ellis (Ratner A.C.),2/4/19 1:49 PM,11/5/18 and various other dates,"DSS was notified by a Campus Security Authority that an undisclosed victim reported being stalked on campus by a known individual / Due to confidentiality of reporting, limited information is available regarding this incident",No Investigation Referred to Title IX Coordinator,CSA Report 19-007
11721,Injured Person,5800 S. Stony Island (Earl Shapiro Hall),2/4/19 2:30 PM,2/4/19 11:45 AM,Student fell in playground and struck head on the ground /Transported to Comer ER by CFD EMS for evaluation and treatment,Closed,19-00117
11722,Battery / Domestic,800 E. 55th St. (Friend Center),2/4/19 3:49 PM,2/4/19 3:30 PM,Two family members involved in an argument struck each other / Charges withheld pending further investigation,Open,19-00118
11723,Information,5800 S. Stony Island (Earl Shapiro Hall),2/4/19 8:30 AM,2/4/19 8:30 AM,A former employee was advised to leave the building by security,Closed,19-00119
11724,Found Property,5300 S. Woodlawn (Public Way),2/4/19 8:03 PM,2/4/19 8:03 PM,An individual found a wallet on the sidewalk near a CTA bus stop and turned the property over to UCPD for safekeeping,Closed,19-00120
11725,Theft,5841 S. Maryland (Mitchell Hospital),2/5/19 10:58 AM,2/2/19 7:00 AM to 4:30 PM,Unsecured iPhone taken from patient's room,Open,19-00121
11726,Theft,5758 S. Maryland (DCAM),2/5/19 4:00 PM,2/5/19 12:00 PM to 1:00 PM,Wallet taken from purse placed on a chair next to the victim in 2nd floor DCAM caf� / Subsequent unauthorized use of debit card reported,Open,19-00122
11727,Theft,1506 E. 53rd St. (Retail),2/5/19 7:19 PM,2/5/19 7:15 PM,Suspects took an item of clothing from the store and fled / Suspect detained by UCPD and identified by retailer / Complainant declined to press charges / Suspect released,Ex. Cleared,19-00123
11728,Non-Criminal / Property Damage,940 E. 57th St. (BSR),2/6/19 12:47 AM,2/6/19 12:47 AM,"CFD, responding to a fire alarm, found it necessary to forcibly open the door to room #114 to gain entry / UC Facilities on the scene",Closed,19-00124
11729,Lost Property,58th - 59th Ellis,2/6/19 2:09 PM,2/6/19 11:25 AM to 11:30 AM,Individual reports losing an iPhone from his pocket while on the public way between 58th & 59th on S. Ellis,Closed,19-00125
11730,Criminal Trespass to Land,5800 S. Greenwood (Main Quad),2/6/19 3:53 PM,2/6/19 3:53 PM,"An unauthorized subject disregarded previous warnings, both written and oral, not to trespass on UC property / Suspect arrested by UCPD",Arrest,19-00126
11731,Found Narcotics,1452 E. 53rd St. (Polsky Center),2/6/19 4:32 PM,2/6/19 4:32 PM,A staff member found a small baggie of marijuana in a conference room / Turned over to UCPD for proper disposal,Closed,19-00127
11732,Domestic Battery,5815 S. Maryland (Mitchell Hospital),2/6/19 10:42 PM,2/6/19 8:30 PM,"During the course of an argument, boyfriend choked girlfriend / Suspect fled the scene prior to notification to UCPD",Open,19-00128
11733,Injured Person,1025 E. 58th St. (Swift Hall),2/7/19 12:30 PM,2/7/19 12:20 PM,"An individual walking down the front exterior steps of the building, slipped and fell to the pavement injuring his right shoulder / Transported to UCMED for evaluation and treatment",Closed,19-00129
11734,Information / Aggravated Robbery,5200 S. Lake Park (Public Way),2/7/19 12:58 PM,2/6/19 3:00 PM,Delayed Report - Victim sitting in his car off campus was approached by an unknown subject who implied he had a weapon (no weapon seen) and demanded property / The suspect took cash and a cell phone from the victim before fleeing on foot / Referred to CPD,Referred,19-00130
11735,Medical Call,1362 E. 59th St. (Laboratory School),2/7/19 2:51 PM,2/7/19 2:25 PM,Sick person transported to Comer Hospital by CFD EMS for treatment,Closed,19-00131
11736,Reckless Driving,1369 E. 59th St. (Park Property),2/7/19 4:02 PM,2/7/19 4:02 PM,An unknown motorist was observed driving in a reckless manner on the grassy area between 59th St. and Midway Plaisance / Suspect fled before UCPD was called,Open,19-00132
11737,Non-Criminal Property,5735 S. Ellis (Searle Lab),2/7/19 6:59 PM,2/7/19 6:59 PM,Water leaking from the ceiling of lab / Facilities responded,Closed,19-00133
11738,Information / Armed Robbery,5400 S. Kimbark (Public Way),2/8/19 12:47 AM,2/8/19 12:40 AM,"Two subjects, one armed with a handgun, took a backpack from a person walking on the sidewalk off campus / CPD case JC144345",CPD,19-00134
11739,Theft,5610 S. University (Public Way),2/8/19 10:00 AM,2/8/19 7:00 AM to 9:00 AM,A messenger bag was taken from the rear seat of an unsecured car parked on the street,Open,19-00135
11740,Information,5706 S. University (Reynolds Club),2/8/19 11:16 AM,2/6/19 to 2/7/19 11:30 PM to 12:30 AM,An unauthorized individual was observed in the building / Subject left before UCPD was notified,Closed,19-00136
11741,Theft,1101 E. 56th St. (Max Palevsky RH),2/8/19 2:15 PM,2/7/19 to 2/8/19 8:00 PM to 5:00 AM,"Wallet taken from an unattended, unsecured backpack left in student lounge",Open,19-00137
11742,Liquor Law Violation,6031 S. Ellis (Granville-Grossman RH),2/8/19 11:28 PM,2/8/19 11:28 PM,An underage individual became ill after consuming alcoholic beverages / Transported to UCMED by CFD EMS for evaluation and treatment,Referred,19-00138
11743,Mental Health Transport,1005 E. 60th St. (Burton-Judson RH),2/9/19 2:59 AM,2/9/19 2:59 AM,Individual was transported to UCMED for evaluation,Closed,19-00139
11744,Information / Burglary,"61st St, between Ingleside & Ellis",2/9/19 10:09 PM,2/9/19 5:10 PM to 9:35 PM,Unknown person(s) entered off campus private apartment and took computers and other electronics / CPD case JC146679,CPD,19-00140
11745,Injured Person,5630 S. University (Public Way),2/10/19 5:04 PM,2/10/19 5:00 PM,Contract employee fell on slippery sidewalk and injured his right ankle / Transported to UCMED by CFD EMS for treatment,Closed,19-00141
11746,Information / Burglary,Drexel between 61st & 62nd,2/10/19 7:38 PM,2/10/19 2:00 PM to 7:38 PM,Unknown person(s) entered off campus private apartment while resident was away and took property / CPD case,CPD,19-00142
11747,Found Property,5811 S. Ellis (Cobb Hall),2/11/19 8:30 AM,2/10/19 8:00 PM,Staff member found a wallet and turned it over to UCPD / Owner contacted,Closed,19-00143
11748,Theft,5700 S. Maryland (CCD),2/11/19 9:33 AM,2/7/19 to 2/8/19 3:00 PM to 11:00 AM,"Unattended, unsecured purse taken from closet in patient's room",Open,19-00144
11749,Assist Other Agency,1201 E. Midway Pl. (Public Way),2/11/19 11:45 AM,2/11/19 11:45 AM,UCPD officers assisted CPD in apprehending 5 suspects wanted by CPD for a robbery committed off campus on 119th St. / CPD cases JC148171 and JC148222,CPD,19-00147
11750,Injured Person,5853 S. University,2/11/19 2:02 PM,2/11/19 2:02 PM,A staff member injured her finger while securing a metal grate / Transported to UCMED for treatment,Closed,19-00145
11751,Information / Disturbance,5700 S. Maryland (CCD),2/11/19 12:44 PM,2/11/19 12:40 PM,Two individuals involved in a loud argument / Peace restored,Closed,19-00146
11752,Lost Property,Between 57th & Drexel & 57th & University,2/11/19 3:35 PM,2/11/19 11:45 AM to 11:55 AM,An individual reports losing a cell phone while walking on campus,Closed,19-00148
11753,Information,5757 S. University (Saieh Hall),2/11/19 3:58 PM,2/11/19 8:55 AM,Information relating to 2 suspicious persons seen in the building,Closed,19-00149
11754,Non-Criminal Damage to Property,5401 S. Cornell (Alley),2/11/19 9:37 PM,2/11/19 9:35 PM,A fire escape ladder fell onto a UC owned vehicle causing damage,Closed,19-00150
11755,Injured Person,6031 S. Ellis (Walkway),2/12/19 1:01 AM,2/12/19 12:50 AM,"Individual slipped on icy walkway, fell injuring right shoulder / Transported to UCMED by CFD EMS for treatment",Closed,19-00151
11756,VOID,VOID,VOID,VOID,Number generated in error,VOID,19-00152
11757,Information,5840 S. Kenwood (Lab School),2/12/19 11:03 AM,2/12/19 10:40 AM,Information of suspicious behavior of a known individual / Handled internally,Closed,19-00153
11758,Information / Disturbance,5700 S. Maryland (CCD),2/12/19 12:07 PM,2/12/19 10:15 AM to 4:05 PM,Disturbance with patient who refused additional treatment and left hospital against medical advice,Closed,19-00154
11759,Theft,5640 S. Ellis (Eckhardt Research),2/12/19 3:17 PM,2/12/19 1:30 PM to 3:10 PM,Two laptops taken from unsecured office,Open,19-00155
11760,VOID,VOID,VOID,VOID,Number generated in error,VOID,19-00156
11761,Theft,5640 S. University (Public Way),2/12/19 8:43 PM,2/12/19 8:40 PM,"In a dispute between two fraternities, a plastic owl was snatched from the hand of a person walking on the sidewalk and suspect fled / Subsequent to investigation the owl was returned and prosecution was declined",Ex. Cleared,19-00157
11762,Theft,1346 E. 53rd St.,2/13/19 4:48 PM,2/13/19 4:48 PM,A subject took several items of merchandise from a store without paying / Suspect struck a store employee who tried to detain him / UCPD officer chased the suspect on foot and took him into custody / Charged with theft and battery,Arrest,19-00158
11763,Liquor Law Violation,6031 S. Ellis (Granville-Grossman RH),2/14/19 2:43 AM,2/14/19 2:43 AM,Underage individual became ill after consuming alcoholic beverages / Transported to UCMED by CFD EMS for evaluation and treatment,Referred,19-00159
11764,Criminal Damage to Property,5656 S. Maryland (UCMED),2/14/19 7:15 AM,2/14/19 7:15 AM,A disturbed patient smashed a UCM owned telephone / Prosecution declined,Ex. Cleared,19-00160
11765,Criminal Trespass to Land,5505 S. Ellis (Parking Structure),2/14/19 8:58 AM,2/14/19 8:58 AM,Unauthorized individual found sleeping in an elevator in the parking structure / Subject given a trespass warning and declined an offer of transport to a shelter,Closed,19-00161
11766,Information,5841 S. Maryland (UCM),2/14/19 10:34 AM,2/14/19 10:34 AM,Physician advised of forged prescriptions from pharmacies outside of the area / Physician reported forgeries to US DEA,Closed,19-00162
11767,Information,50th Pl. between Cornell & East End,2/14/19 2:23 PM,2/14/19 2:23 PM,Information relating to a disturbing Face Book post,Closed,19-00163
11768,Found Property,850 E. 61st St. (UCPD HQ),2/14/19 2:20 PM,2/14/19 2:20 PM,First Transit employee turned over a cell phone found on UC Shuttle bus / Inventoried for safekeeping,Closed,19-00164
11769,Assist Other Agency / Aggravated Assault,5550 S. Shore Dr. (Parking Lot),2/14/19 3:14 PM,2/14/19 3:14 PM,UCPD assisted CPD in the arrest of a suspect who had menaced a victim by displaying a handgun in off campus parking lot / CPD case JC152356,CPD,19-00165
